model,MAE,RMSE,MAPE,order,seasonal_order,AIC,BIC
Best ARIMAX,2811.065598525834,3788.6636836945027,3.4051684136468237,"(2, 1, 2)","(0, 0, 0, 0)",44315.68694531161,44537.79787316678
Best GARMAX,3339.0265054521956,4081.5635853933595,4.16699489666235,"AR lags (1, 7)",,37879.91766402541,38073.356281681416
Best ARIMA,5554.981919789341,7152.514006052107,7.112819552376185,"(2, 1, 2)","(0, 0, 0, 0)",49950.81808102275,49985.8882275262
Best SARIMA,6378.385356018225,7898.495693147867,7.713284853069919,"(2, 1, 2)","(1, 1, 1, 7)",45698.935026711835,45745.651231365475
Best GARMA,8043.000937254745,9657.783999499266,9.711370714423623,"AR lags (1, 7)",,48374.73329283175,48392.2648387462
Seasonal Naive,7836.50523327674,9910.791749519707,9.439181516333004,,,,
Naive,8869.336976201012,10456.246511938534,10.702914707256712,,,,
Best SARIMAX,15344.271128938552,16558.516960725083,19.49811003846833,"(2, 1, 2)","(1, 1, 1, 7)",44210.771775687914,44444.352798956104
