is_holiday,is_weekend,count,mean,std,min,max
0,0,2034,72717.67316250628,7780.61369492536,50686.67516666,95880.76445833
0,1,814,64218.7225117831,7582.624859152272,48585.55212501,86345.439875
1,0,54,63096.50185607389,7683.831862204019,51254.50745833,83329.40154167
1,1,20,62725.3401041665,7275.83892498228,54471.931375,75920.615625
