model,MAE,RMSE,MAPE
Best ARIMAX,2811.065598525834,3788.6636836945027,3.4051684136468237
Best GARMAX,3339.0265054521956,4081.5635853933595,4.16699489666235
Best ARIMA,5554.981919789341,7152.514006052107,7.112819552376185
Best SARIMA,6378.385356018225,7898.495693147867,7.713284853069919
Best GARMA,8043.000937254745,9657.783999499266,9.711370714423623
Seasonal Naive,7836.50523327674,9910.791749519707,9.439181516333004
Naive,8869.336976201012,10456.246511938534,10.702914707256712
Best SARIMAX,15344.271128938552,16558.516960725083,19.49811003846833
