order,seasonal_order,log_likelihood,AIC,BIC,converged,error
"(1, 0, 1)","(0, 1, 0, 7)",-23510.205264768178,47028.410529536355,47051.78278560312,True,
"(2, 1, 2)","(1, 0, 1, 7)",-23506.3152631249,47028.6305262498,47075.36875648274,True,
"(1, 0, 0)","(0, 1, 0, 7)",-23546.340279883814,47098.68055976763,47116.210928980756,False,
"(1, 1, 2)","(0, 1, 0, 7)",-23558.023308909324,47126.04661781865,47155.258011714235,True,
"(2, 1, 2)","(0, 1, 0, 7)",-23589.63531069529,47191.27062139058,47226.32429406528,True,
"(2, 1, 0)","(1, 0, 0, 7)",-23591.518929468628,47193.037858937256,47222.25121631215,True,
"(2, 1, 1)","(0, 1, 0, 7)",-23592.027991177012,47194.055982354024,47223.26933972892,True,
"(0, 0, 1)","(0, 1, 1, 7)",-23600.541482911598,47209.082965823196,47232.44421775648,True,
"(1, 1, 1)","(0, 1, 0, 7)",-23609.822337924183,47227.644675848365,47251.01536174829,True,
"(0, 1, 2)","(1, 0, 0, 7)",-23612.358790750393,47234.71758150079,47263.93486352267,True,
"(2, 1, 1)","(1, 0, 0, 7)",-23617.806256402477,47247.61251280495,47282.66854165483,True,
"(1, 1, 0)","(1, 0, 0, 7)",-23620.765458925805,47249.53091785161,47272.90317391838,True,
"(0, 0, 2)","(0, 1, 0, 7)",-23628.321196230027,47264.64239246005,47288.013078359974,True,
"(0, 1, 0)","(1, 0, 0, 7)",-23633.58919583203,47273.17839166406,47290.70876087719,True,
"(0, 1, 1)","(1, 0, 0, 7)",-23633.54849322596,47275.09698645192,47298.47081206943,True,
"(1, 1, 2)","(1, 0, 1, 7)",-23656.47521283604,47326.95042567208,47367.846377125905,True,
"(0, 0, 1)","(1, 1, 0, 7)",-23675.293174384242,47358.586348768484,47381.950747830175,True,
"(0, 1, 2)","(0, 1, 0, 7)",-23675.30503732627,47358.61007465254,47381.97918976901,True,
"(2, 1, 0)","(0, 1, 0, 7)",-23685.524978806796,47379.04995761359,47402.42064351351,True,
"(2, 1, 2)","(1, 0, 0, 7)",-23689.694078136337,47393.388156272675,47434.28685659753,True,
"(0, 1, 1)","(0, 1, 0, 7)",-23700.696630993378,47407.393261986756,47424.9212764117,True,
"(0, 1, 0)","(0, 1, 0, 7)",-23709.70750268426,47423.41500536852,47435.101133401906,True,
"(1, 1, 0)","(0, 1, 0, 7)",-23709.694321952553,47425.388643905106,47442.91783595518,True,
"(1, 1, 2)","(1, 0, 0, 7)",-23838.74793645637,47689.49587291274,47724.55425701289,True,
"(0, 0, 1)","(0, 1, 0, 7)",-23871.246714636898,47748.493429273796,47766.02262132387,True,
"(1, 0, 2)","(1, 0, 1, 7)",-24089.880456291685,48193.76091258337,48234.659612908225,True,
"(2, 0, 2)","(1, 0, 0, 7)",-24093.421995250224,48200.84399050045,48241.74543861729,True,
"(1, 0, 2)","(1, 0, 0, 7)",-24134.617479356806,48281.23495871361,48316.29569713987,True,
"(2, 1, 1)","(1, 0, 1, 7)",-24144.151730688078,48302.303461376156,48343.20216170101,True,
"(2, 1, 0)","(1, 0, 1, 7)",-24188.839796586064,48389.67959317213,48424.735622022,True,
"(2, 1, 2)","(0, 0, 1, 7)",-24210.86873487143,48435.73746974286,48476.63342119668,True,
"(2, 0, 1)","(1, 0, 0, 7)",-24242.975141890576,48497.95028378115,48533.0086678813,True,
"(1, 1, 2)","(0, 0, 1, 7)",-24253.591785485747,48519.183570971494,48554.237243646196,True,
"(0, 0, 0)","(0, 1, 1, 7)",-24320.117725733966,48646.23545146793,48663.75757082318,True,
"(0, 0, 0)","(1, 1, 1, 7)",-24320.020125028368,48648.040250056736,48671.40307586373,True,
