date,actual,Naive,Seasonal Naive,Best ARIMA,Best ARIMAX,Best SARIMA,Best GARMA,Best GARMAX,Best SARIMAX
2025-03-10,90071.087875,71629.25720833,74499.63329166,79148.15180357128,82107.36776239495,75943.88715251652,72998.51522193255,81994.44812655267,78112.25475553844
2025-03-11,91772.949625,71629.25720833,71629.25720833,79158.78743298403,83677.52576932065,77507.28262101574,73078.23356721507,83805.65947014025,79665.50532311435
2025-03-12,90985.75579167,71629.25720833,66416.57704167,79169.42306239677,83969.36520217767,77382.0929363715,72922.68821709206,84095.96026622847,79906.28428053406
2025-03-13,91613.56075,71629.25720833,75394.72508333,79180.05869180952,83887.95464986905,77794.2979315301,72618.76381624046,83910.3117597905,79891.41922466482
2025-03-14,89964.18433334,71629.25720833,77224.80237501,79190.69432122227,83358.67463002751,77219.88431633767,72420.55629726649,83269.53246230059,79376.50299614762
2025-03-15,83373.48329167001,71629.25720833,74816.18320834,79201.32995063502,77731.34180879072,70937.83123209597,72482.360406292,76789.14472916123,73135.91956726038
2025-03-16,76424.42370833,71629.25720833,70248.53175001,79211.96558004776,72149.90740220006,65361.35622076858,72693.61047820341,70392.53393654601,67062.82927038544
2025-03-17,87632.67645833,71629.25720833,74499.63329166,79222.60120946051,81724.12014859724,75871.735766497,72904.10548456172,81500.72076486933,77382.15099261627
2025-03-18,88570.37441667,71629.25720833,71629.25720833,79233.23683887326,83274.14010985545,77435.16510840176,73019.84502284804,83314.68055469825,78910.09937296799
2025-03-19,86708.87683333,71629.25720833,66416.57704167,79243.872468286,83546.13666987348,77310.00929522562,72946.20684382359,83628.90047130425,79125.90140844589
2025-03-20,85527.02558333,71629.25720833,75394.72508333,79254.50809769875,83445.20485639707,77722.248161076,72715.56923185854,83486.62044715493,79086.40320301102
2025-03-21,85419.84537500999,71629.25720833,77224.80237501,79265.1437271115,82896.75098202507,77147.86841705881,72512.53535170443,82936.07925439088,78547.21558376969
2025-03-22,79584.621875,71629.25720833,74816.18320834,79275.77935652425,77250.61681894463,70865.84920408041,72496.5844803129,76634.29563188227,72282.73996652842
2025-03-23,75229.04099999,71629.25720833,70248.53175001,79286.414985937,71650.77795709658,65289.40806431069,72637.3755326417,70448.44143342806,66186.1535710815
2025-03-24,86930.64845834,71629.25720833,74499.63329166,79297.05061534974,81207.00673523468,75799.82148208925,72822.90316366477,81829.31798506246,76482.39159612177
